"row_n";"Ca";"CALORIES";"Carbohydrate";"Cholesterol";"Dietary  Fiber";"FAT";"Fat, saturated";"Fe";"K";"Na";"Protein";"Total Trans FA";"Vitamin A";"Vitamin C"
"754232 FALSE";13;123;14.54;17;1.5;5.29;1.98;0.32;192;330;4.19;0;88;0
"754296 FALSE";0;333;1.96;108;0;27.45;8.82;1.41;314;706;21.57;0;0;0
"754318 FALSE";0;214;1.79;89;0;12.5;6.25;2.57;0;982;26.79;0;0;0
"754348 FALSE";208;361;13.89;62;1.4;27.78;11.11;1.5;188;1250;15.28;0;139;0
"754448 FALSE";51;258;22.73;53;2;16.16;7.07;1.36;96;253;5.56;0;51;1.2
"754466 FALSE";20;137;15.44;13;2.7;5.39;1.72;0.66;304;277;6.86;0;123;0.9
"754468 FALSE";27;122;18.97;8;1.4;2.98;0.54;0.39;149;257;4.61;0;339;6.5
"754472 FALSE";57;169;18.34;17;1.4;7.16;2.29;0.77;201;398;7.74;0;143;0
"754490 FALSE";22;136;18.7;7;1.9;4.61;0.81;0.73;146;187;4.61;0;1355;0
"754494 FALSE";27;103;15.45;9;1.4;2.17;0.54;0.73;228;317;5.42;0;203;0
"754560 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1714;21.43;0;1071;0
"754562 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1714;21.43;0;1071;0
"754586 FALSE";83;250;2.08;73;2.1;18.75;6.25;1.5;94;2458;16.67;0;0;0
"754598 FALSE";88;235;4.41;74;2.9;17.65;5.15;2.12;132;2206;16.18;0;147;0
"754620 FALSE";89;333;6.67;78;0;28.89;8.89;1.6;211;800;13.33;0;0;0
"754624 FALSE";133;311;6.67;78;2.2;26.67;7.78;1.6;200;800;13.33;0;0;0
"754626 FALSE";89;200;4.44;78;0;13.33;3.33;1.6;256;911;15.56;0;0;0
"754636 FALSE";0;105;5.26;9;1.8;7.89;1.75;0;0;456;3.51;0;0;0
"754704 FALSE";89;333;2.22;56;0;28.89;10;0.8;0;778;13.33;0;0;0
"754706 FALSE";29;179;13.82;29;1.2;9.12;2.06;0.53;271;426;10;0;662;0.7
"754710 FALSE";50;141;14.11;28;1.7;6.44;2.23;1.11;230;433;6.93;0;248;0.9
"754748 FALSE";0;203;12.66;32;1.3;11.39;1.9;0.91;190;544;12.66;0;0;0
"754750 FALSE";0;215;15.19;32;1.3;10.13;1.9;0.91;203;696;13.92;0;380;0
"754754 FALSE";0;212;15.29;47;2.4;10.59;2.35;1.27;224;588;15.29;0;0;0
"754772 FALSE";111;315;5.56;56;0;27.78;8.33;1.33;222;759;12.96;0;0;0
"754778 FALSE";100;183;3.33;67;0;13.33;3.33;1.8;0;700;15;0;0;0
"754782 FALSE";107;321;1.79;54;0;30.36;8.93;1.29;188;786;12.5;0;0;0
"754786 FALSE";89;333;2.22;56;0;28.89;10;1.6;222;778;13.33;0;0;0
"754792 FALSE";74;333;3.7;56;1.9;29.63;9.26;1.33;222;759;12.96;0;0;0
"754798 FALSE";88;333;1.75;56;0;28.07;9.65;1.58;0;772;13.16;0;0;0
"754804 FALSE";87;337;4.35;65;0;29.35;8.7;1.57;0;761;13.04;0;0;0
"754808 FALSE";89;333;2.22;56;0;28.89;10;1.6;222;778;13.33;0;0;0
"754810 FALSE";0;239;19.57;38;2.2;11.96;2.72;1.17;163;587;13.04;0;109;0
"754816 FALSE";0;228;15.22;43;1.1;11.96;2.72;0.39;196;489;14.13;0;0;0
"754818 FALSE";24;224;12.94;76;1.2;11.76;2.35;0.85;212;776;15.29;0;0;1.4
"754820 FALSE";74;333;3.7;56;1.9;29.63;9.26;1.33;222;759;12.96;0;0;0
"754828 FALSE";0;224;12.94;76;1.2;11.76;2.35;0.85;200;776;15.29;0;0;0
"754832 FALSE";47;235;12.94;76;1.2;14.12;2.94;0.85;200;788;15.29;0;0;0
"754870 FALSE";71;500;14.29;89;3.6;39.29;14.29;2.57;536;1643;21.43;0;0;0
"754886 FALSE";125;469;18.75;109;3.1;34.38;12.5;2.25;469;1656;18.75;0;0;0
"754890 FALSE";125;469;18.75;109;3.1;34.38;12.5;2.25;469;1594;18.75;0;0;0
"754902 FALSE";109;491;16.36;91;1.8;40;14.55;2.62;473;1709;20;0.91;909;0
"754904 FALSE";109;491;16.36;91;1.8;40;14.55;2.62;473;1709;20;0.91;909;0
"754914 FALSE";0;100;4.44;33;0;2.22;0;1.6;311;1089;13.33;0;0;0
"754924 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1714;21.43;0;1071;0
"754930 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1714;21.43;0;1071;0
"754934 FALSE";182;491;14.55;91;3.6;40;14.55;2.62;418;1218;20;0.91;364;0
"754938 FALSE";0;306;4.08;51;0;26.53;10.2;1.47;163;918;12.24;1.02;0;0
"754940 FALSE";182;491;14.55;91;3.6;40;14.55;2.62;418;1218;20;0.91;364;0
"754948 FALSE";0;306;4.08;51;0;26.53;10.2;1.47;163;918;12.24;1.02;0;0
"754958 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1714;21.43;0;1071;0
"754960 FALSE";0;292;4.17;52;0;27.08;10.42;1.5;167;917;10.42;1.04;0;0
"754966 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1714;21.43;0;1071;0
"754968 FALSE";0;298;3.51;53;0;26.32;10.53;1.26;167;912;10.53;0.88;0;0
"754972 FALSE";109;473;18.18;109;3.6;34.55;12.73;2.62;545;1636;20;0.91;182;0
"754988 FALSE";0;500;12.5;62;0;37.5;12.5;0;438;1688;25;0;0;0
"754996 FALSE";0;158;3.51;35;0;8.77;3.51;1.89;421;930;15.79;0;0;0
"755012 FALSE";24;378;15.85;30;1.2;30.49;12.2;1.76;0;720;9.76;0.61;0;0
"755016 FALSE";0;308;28.21;32;1.3;16.67;6.41;2.31;147;962;11.54;0;0;0
"755156 FALSE";0;271;30.59;18;2.4;11.76;1.76;0.85;294;541;10.59;0;0;0
"755164 FALSE";0;239;19.57;38;2.2;11.96;2.72;1.17;163;587;13.04;0;109;0
"755196 FALSE";0;235;19.12;37;2.9;11.76;2.94;1.06;162;588;13.24;0;0;0
"755314 FALSE";27;95;14.91;11;1.4;1.22;0.27;0.39;198;195;6.23;0;542;6.5
"755316 FALSE";16;104;12.53;23;1.8;3.13;1.17;0.38;188;292;6.53;0;392;0.9
"755366 FALSE";0;321;17.86;71;0;14.29;3.57;2.57;393;2393;32.14;0;0;0
"755380 FALSE";0;321;14.29;89;0;14.29;5.36;3.86;571;1607;32.14;0;0;0
"755388 FALSE";0;317;14.63;98;0;14.63;4.88;2.63;598;1537;31.71;0;0;0
"755408 FALSE";0;321;10.71;71;3.6;21.43;7.14;2.57;375;1500;21.43;0;714;0
"755414 FALSE";0;321;7.14;71;0;21.43;7.14;5.14;339;1607;21.43;0;0;0
"755486 FALSE";0;271;30.59;18;2.4;11.76;1.76;0.85;294;541;10.59;0;0;0
"755492 FALSE";0;247;12.94;100;1.2;15.29;2.94;0.85;200;824;15.29;0;0;1.4
"755502 FALSE";0;357;25;71;0;14.29;3.57;2.57;375;2357;32.14;0;714;0
"755544 FALSE";128;244;35.9;6;2.6;6.41;1.28;2.31;141;769;8.97;0;0;0
"755574 FALSE";24;271;16.47;53;1.2;17.65;3.53;0.85;141;847;11.76;0;118;0
"755578 FALSE";0;235;10.59;71;1.2;12.94;2.94;0.85;288;447;20;0.59;0;0
"755586 FALSE";0;271;9.41;76;1.2;17.65;4.12;0.85;288;812;20;1.18;0;0
"755590 FALSE";47;247;20;24;2.4;14.12;2.35;1.27;294;494;11.76;0;0;0
"755596 FALSE";0;235;19.12;37;2.9;11.76;2.94;1.06;162;588;13.24;0;0;0
"755598 FALSE";24;247;21.18;24;2.4;12.94;2.35;0.85;318;412;11.76;0;0;0
"755602 FALSE";0;221;14.71;44;1.5;11.76;2.21;0.53;191;485;14.71;0;0;0
"755608 FALSE";0;224;15.29;41;1.2;11.76;2.35;0.42;188;494;14.12;0;0;0
"755610 FALSE";24;259;21.18;24;2.4;14.12;2.94;1.27;306;412;10.59;0;0;0
"755660 FALSE";0;500;12.5;62;12.5;37.5;12.5;0;438;1688;25;0;0;0
"755674 FALSE";125;500;9.38;94;3.1;40.62;14.06;2.25;438;1719;21.88;0;938;0
"755678 FALSE";0;500;12.5;62;0;37.5;12.5;0;438;1688;25;0;0;0
"755684 FALSE";0;500;12.5;62;0;37.5;12.5;0;438;1688;25;0;0;0
"755686 FALSE";125;500;15.62;94;3.1;40.62;14.06;2.25;438;1719;21.88;0;938;0
"755690 FALSE";0;500;12.5;62;12.5;37.5;12.5;0;438;1688;25;0;0;0
"755694 FALSE";0;500;12.5;62;0;37.5;12.5;0;438;1688;25;0;0;0
"755698 FALSE";0;377;4.72;71;0;33.02;14.15;3.4;330;1934;28.3;0;472;0
"755714 FALSE";353;353;4.71;112;1.2;27.06;14.12;1.27;224;1400;22.35;0.59;588;0
"755716 FALSE";294;353;3.53;76;0;28.24;17.65;1.69;341;1635;23.53;0.59;2941;0
"755720 FALSE";0;263;17.54;88;1.8;6.14;2.63;3.16;561;2035;35.09;0;0;0
"755730 FALSE";0;286;10.71;107;0;5.36;1.79;6.43;750;1500;46.43;0;0;0
"755738 FALSE";143;464;17.86;107;3.6;35.71;12.5;2.57;500;1250;21.43;0;0;0
"755742 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1536;21.43;0;1071;0
"755746 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;464;1536;21.43;0;1071;0
"755840 FALSE";62;169;4.62;54;0.8;13.08;3.85;0.83;123;646;7.69;0;0;0
"755862 FALSE";143;500;14.29;89;3.6;39.29;14.29;2.57;500;1714;21.43;0;1071;0
"755866 FALSE";0;228;15.22;43;1.1;11.96;2.72;0.39;196;489;14.13;0;0;0
"755910 FALSE";23;138;11.49;20;2.9;6.9;1.44;0.83;391;569;8.05;0;172;2.1
"755914 FALSE";11;198;14.12;17;0.6;12.43;4.52;0.41;277;458;7.34;0;282;0.7
"755948 FALSE";0;92;1.97;39;0;2.3;0.99;0.95;0;493;16.45;0;0;0
"756116 FALSE";46;146;1.54;73;0;12.31;3.85;0.83;77;631;6.92;0;0;0
"756376 FALSE";0;224;15.29;35;2.4;10.59;2.35;1.27;188;435;14.12;0;0;0
"756402 FALSE";0;224;15.29;41;1.2;11.76;2.35;0.42;188;494;14.12;0;0;0
"756424 FALSE";0;224;15.29;41;1.2;11.76;2.35;0.42;188;494;14.12;0;0;0
"756428 FALSE";136;237;1.69;102;0;20.34;5.93;1.83;68;763;11.86;0;0;0
"756500 FALSE";40;237;23.23;10;1.5;13.64;6.06;0.91;86;328;5.05;0;202;1.2
"756512 FALSE";0;221;14.71;44;1.5;11.76;2.21;0.53;191;485;14.71;0;0;0
"756562 FALSE";80;300;4;60;0;26;9;1.44;0;740;14;0;0;4.8
"756586 FALSE";14;68;6.08;14;1.4;0.34;0;1.22;257;297;9.46;0;0;0
"756592 FALSE";125;500;15.62;94;3.1;40.62;14.06;2.25;438;1719;21.88;0;938;0
"756632 FALSE";0;105;5.26;9;1.8;7.89;1.75;0;70;456;3.51;0;0;0
"756636 FALSE";139;361;13.89;62;1.4;27.78;11.11;1.5;181;1250;15.28;0;0;0
"756642 FALSE";65;293;31.52;16;2.2;14.13;4.89;1.96;217;837;10.87;0;0;0
"756672 FALSE";48;225;27.75;19;2.4;9.57;1.91;1.72;239;340;7.18;0;1435;1.7
"756826 FALSE";85;141;11.3;23;2.3;6.21;1.98;0.61;237;571;9.6;0;226;2.7
"757540 FALSE";71;500;14.29;89;3.6;39.29;14.29;2.57;429;1714;21.43;0;0;0
"757988 FALSE";29;135;20.1;0;5.5;4.4;3.3;0.8;186;171;4.3;0;0;3
"758012 TRUE";39;185;23;0;4.6;9.3;1.1;0.9;305;482;4.7;0.2;0;0
"758034 FALSE";32;172;19.9;0;2.1;8.1;1.4;1.2;108;201;5.6;0;0;2
"758036 FALSE";28;95;12.2;0;3.1;4.4;0.7;1.4;139;176;3.6;0;0;24
"758038 FALSE";26;130;17.5;0;2.2;5.4;0.9;1;153;223;3.2;0;0;7
"758040 TRUE";80;158;18.1;1;6.8;5.8;0.8;1.5;321;452;14.1;0.1;0;0
"775912 FALSE";0;107;0;45;0;1.79;0;0;0;750;23.21;0;0;0
"796437 FALSE";0;107;0;18;0;5.36;2.68;0;0;1071;14.29;0;0;0
"808738 FALSE";0;89;5.36;45;0;1.79;0;0;170;571;14.29;0;893;0
"808740 FALSE";0;89;1.79;62;0;1.79;0;0.64;188;554;17.86;0;0;0
"810426 FALSE";0;155;4.76;54;0;8.33;2.38;0;0;1155;16.67;0;0;0
"818216 FALSE";0;304;1.79;71;0;26.79;10.71;0;0;1286;14.29;0;0;0
"841642 FALSE";0;500;0;125;0;40;12.5;0;0;1900;30;0;0;0
"896456 FALSE";85;168;7.08;0;5.3;11.5;0.88;1.77;457;372;12.39;0;0;0
"896460 FALSE";84;156;5.56;0;5.6;7.78;1.11;2.22;350;367;15.56;0;0;0
"901578 TRUE";27;227;34.67;0;8;9.33;1.33;1.6;133;520;5.33;0;0;0
"915914 TRUE";68;216;6.82;0;1.1;11.36;1.14;2.27;318;614;23.86;0;0;0
"915950 TRUE";68;216;6.82;0;1.1;11.36;1.14;2.27;330;614;22.73;0;0;0
"938150 FALSE";21;84;20;0;1.3;0.56;0.17;200;0;745;1.51;0;0;0
"938164 FALSE";0;106;10.79;0;3;5.9;5.07;0;0;390;2.4;0;0;0
"948914 FALSE";0;0;0;227;0;45.45;18.18;0;0;2545;27.27;0;0;0
"948916 FALSE";0;0;0;227;0;45.45;18.18;0;0;2545;36.36;0;0;0
"958277 FALSE";118;153;2.35;0;0;9.41;1.76;2.12;0;18;15.29;0;0;0
"965887 FALSE";0;161;0.89;71;0;8.93;2.23;0.62;0;188;20.54;0;0;0
"969861 FALSE";0;116;1.79;40;0;4.46;1.79;0.32;0;491;17.86;0;0;0
"969963 FALSE";0;107;0;0;0;3.57;1.34;0.32;0;241;17.86;0;0;0
"969999 FALSE";0;116;0;40;0;4.46;1.79;0.32;0;455;18.75;0;0;0
"970023 FALSE";0;143;0.89;49;0;8.04;2.68;0.32;0;420;16.07;0;0;0
"970083 FALSE";0;152;0.89;54;0;8.93;3.57;0.64;0;420;16.07;0;0;0
"975119 FALSE";0;232;1.79;98;0;14.29;7.14;0;0;875;25;0;0;0
"988355 FALSE";18;115;3.54;53;0;1.33;0;0.64;0;469;21.24;0;0;1.1
"1009119 FALSE";0;333;0;53;0;29.82;6.14;0.63;0;684;14.04;0.88;0;2.1
"1022913 FALSE";25;325;5;81;0;23.75;8.75;0.9;0;1088;21.25;0;625;0
"1022915 FALSE";25;325;3.75;81;0;25;8.75;0.9;0;1100;21.25;0;125;0
"1023683 FALSE";18;176;16.47;53;0;4.71;0.59;1.18;266;518;17.65;0;0;0
"1024627 FALSE";0;545;9.09;182;0;40.91;13.64;3.27;0;2273;27.27;0;0;0
"1026775 FALSE";25;321;3.7;80;0;24.69;8.64;0.89;0;778;20.99;0;123;0
"1028821 FALSE";0;107;0;49;0;1.34;0.45;0.32;0;62;23.21;0;0;0
"1029641 FALSE";0;89;1.79;36;0;1.79;0;0.64;0;804;17.86;0;0;0
"1029783 FALSE";0;161;1.11;56;1.1;12.22;4.44;0;0;383;14.44;0;0;0
"1030923 FALSE";0;500;15;150;0;35;12.5;1.8;0;2800;25;0;0;0
"1032377 FALSE";42;198;12.5;0;2.1;12.5;1.04;1.67;271;375;8.33;0;0;0
"1035691 FALSE";133;200;1.67;92;0;16.67;5;1.8;0;1017;11.67;0;333;0
"1039037 FALSE";36;327;1.82;91;0;25.45;9.09;0.65;0;836;21.82;0;0;0
"1040041 FALSE";18;179;0;89;0;13.39;3.57;1.29;0;143;14.29;0;89;1.1
"1040043 FALSE";71;196;0;107;0;12.5;3.57;3.21;0;786;23.21;0;0;2.1
"1040045 FALSE";0;196;1.79;58;0;14.29;5.36;0.64;0;312;16.07;0;0;0
"1041635 FALSE";80;240;8;80;0;18.67;6;1.92;0;840;10.67;0;0;0
"1041929 FALSE";0;615;0;77;0;53.85;19.23;2.77;0;1769;23.08;0;0;0
"1042843 TRUE";0;240;13.75;0;9.4;15.25;2.62;3.25;0;618;12.88;0;0;0
"1042845 FALSE";0;367;20;0;8.8;24;3.67;0;0;1138;13.5;0;0;0
"1043199 FALSE";38;283;1.89;57;0;24.53;11.32;1.36;0;849;11.32;0;189;0
"1044195 FALSE";1;179;0;58;0;13.39;5.36;0.89;0;982;13.39;0;0;0
"1044205 FALSE";9;143;0;58;0;7.14;3.12;1.79;279;982;17.86;0;0;0
"1045027 FALSE";24;143;4.76;60;0;3.57;1.19;2.14;0;476;20.24;0;0;0
"1046613 FALSE";0;321;0;54;0;26.79;10.71;1.29;0;625;19.64;0;0;0
"1048043 FALSE";0;289;0;56;0;22.22;8.89;1.6;0;644;15.56;0;0;0
"1048175 FALSE";0;179;8.93;54;0;8.04;2.68;0.64;0;1054;16.07;0;0;0
"1048617 FALSE";7;467;0;100;0;46.67;16.67;0;240;1067;13.33;0;0;0
"1048859 FALSE";75;248;3.54;66;0;19.47;8.85;0.88;210;938;15.93;0.44;0;0
"1049191 FALSE";143;500;0;107;0;35.71;17.86;0;0;1786;42.86;0;0;0
"1056949 FALSE";0;116;3.57;45;0;3.57;1.34;0.64;0;357;17.86;0;0;0
"1060005 FALSE";0;196;0;54;0;15.18;6.25;1.29;0;982;13.39;0;0;0
"1060135 FALSE";0;232;0;67;0;15.18;5.36;1.29;0;982;15.18;0;0;0
"1063197 FALSE";0;161;0;71;0;8.93;1.79;1.29;0;714;21.43;0;0;0
"1063515 FALSE";0;89;1.79;54;0;0;0;0;0;482;17.86;0;0;0
"1063533 FALSE";0;107;0;54;0;1.79;0;0;0;518;21.43;0;0;0
"1063601 FALSE";36;327;1.82;91;0;25.45;9.09;0.65;0;836;21.82;0;0;0
"1063609 FALSE";31;297;1.56;86;0;23.44;7.81;0.56;0;859;20.31;0;0;0
"1063713 FALSE";14;129;2.86;50;0;5;0.71;0.71;418;321;16.43;0;0;0
"1063725 FALSE";14;136;3.57;50;0;5.71;3.57;0.71;409;300;16.43;0;0;0
"1063895 FALSE";28;254;1.41;63;0;21.13;7.04;2.03;0;676;12.68;0;0;29.6
"1064287 TRUE";0;292;19;0;4.6;18;7.1;0;0;480;11.2;0;0;0
"1065193 FALSE";11;134;0;71;0;5.36;1.34;0.89;218;170;21.43;0;0;0
"1065199 FALSE";11;134;0;71;0;5.36;1.34;0.89;218;170;21.43;0;0;0
"1065333 TRUE";144;141;7.04;0;5.6;2.11;0;4.23;239;479;22.54;0;0;0
"1065337 TRUE";144;141;8.45;0;5.6;1.41;0;4.23;211;451;22.54;0;0;0
"1065869 FALSE";1;196;0;54;0;15.18;6.25;0.89;213;982;13.39;0;0;0
"1066887 TRUE";0;342;20.8;0;10.1;18.4;8.32;0;0;1050;18.24;0;0;0
"1066899 FALSE";0;170;0;45;0;9.82;3.57;1.61;0;54;20.54;0;0;0
"1066967 FALSE";25;312;2.5;62;0;26.25;8.75;0.45;0;750;15;0;0;0
"1067043 FALSE";107;150;5;61;0.7;5.71;2.86;0.77;0;350;20;0;714;1.7
"1067121 FALSE";132;305;0.66;76;0;26.49;10.6;1.99;244;305;17.88;1.66;0;0
"1067461 FALSE";0;467;0;67;0;33.33;13.33;0;0;3000;40;0;0;0
"1076721 FALSE";0;107;3.57;45;0;2.68;0.89;0.64;0;643;16.07;0;0;8.6
"1079263 FALSE";21;254;0;70;0;19.72;7.75;1.9;268;67;16.9;1.06;0;0
"1085631 FALSE";0;500;0;111;0;38.89;13.89;0;0;2222;33.33;0;0;0
"1090431 FALSE";15;462;7.69;77;0;34.62;11.54;0;338;1769;46.15;0;0;0
"1090541 FALSE";0;89;3.57;36;0;0.45;0.45;0.32;0;366;18.75;0;0;1.1
"1093525 FALSE";0;571;0;71;0;42.86;17.86;0;0;2214;35.71;0;0;0
"1096391 FALSE";0;63;20.77;0;0.9;0;0;0;0;0;0;0;0;0
